study,model,started_at,epochs,trial,state,value,batch,lr,dropout
us8k_optuna,cnn,2025-11-22T15:19:43,15,0,COMPLETE,0.5698924731182796,32,0.00018410729205738696,0.17799726016810133
us8k_optuna,cnn,2025-11-22T15:19:43,15,1,COMPLETE,0.4826762246117085,32,0.00010838581269344756,0.5849549260809972
us8k_optuna,cnn,2025-11-22T15:19:43,15,2,COMPLETE,0.6869772998805257,16,0.0003287747413991121,0.36237821581611895
us8k_optuna,cnn,2025-11-22T15:19:43,15,3,PRUNED,0.44922341696535245,48,0.0003135775732257748,0.28318092164684583
us8k_optuna,cnn,2025-11-22T15:19:43,15,4,COMPLETE,0.4850657108721625,32,0.0010150667045928574,0.12322520635999887
us8k_optuna,cnn,2025-11-22T15:19:43,15,5,COMPLETE,0.33811230585424135,64,0.0043709904681305065,0.5041986740582306
us8k_optuna,cnn,2025-11-22T15:19:43,15,6,PRUNED,0.42771804062126645,48,0.000161190447276092,0.34758845505563507
us8k_optuna,cnn,2025-11-22T15:19:43,15,7,PRUNED,0.5244922341696535,32,0.00033852267834519784,0.3600340105889054
us8k_optuna,cnn,2025-11-22T15:19:43,15,8,PRUNED,0.41935483870967744,48,0.003946212980759096,0.5474136752138244
us8k_optuna,cnn,2025-11-22T15:19:43,15,9,PRUNED,0.5495818399044206,32,0.00011935477742481393,0.2626651653816322
us8k_optuna,cnn,2025-11-22T16:24:50,15,0,COMPLETE,0.6654719235364397,32,0.00018410729205738696,0.17799726016810133
us8k_optuna,cnn,2025-11-22T16:24:50,15,1,COMPLETE,0.6069295101553166,32,0.00010838581269344756,0.5849549260809972
